date, time, temperature, humidity, aqi, dust_concentration, gas_leak
2024-05-25 05:15 22.7 40 41 34.7 0
2024-05-25 05:30 22.9 39 41 44.5 0
2024-05-25 05:45 23.1 39 41 45.7 0
2024-05-25 06:00 23.3 39 42 66.1 0
2024-05-25 06:15 23.5 40 42 54.9 0
2024-05-25 06:30 23.7 41 43 37.1 0
2024-05-25 06:45 23.9 42 43 18.9 0
2024-05-25 07:00 24.1 43 43 37.9 0
2024-05-25 07:15 24.3 45 45 56.1 0
2024-05-25 07:30 24.5 46 45 45.9 0
2024-05-25 07:45 24.7 45 45 87.1 0
2024-05-25 08:00 24.9 47 46 32.9 0
2024-05-25 08:15 25.1 45 47 76.1 0
2024-05-25 08:30 25.3 44 47 45.3 0
2024-05-25 08:45 25.5 43 47 55.8 0
2024-05-25 09:00 25.7 44 48 76.1 0
2024-05-25 09:15 25.9 46 50 44.2 0
2024-05-25 09:30 26.1 47 52 73.7 0
2024-05-25 09:45 26.3 45 52 56.9 0
2024-05-25 10:00 26.5 48 53 71.9 0
2024-05-25 10:15 26.7 50 54 23.4 0
2024-05-25 10:30 26.9 51 54 43.2 0
2024-05-25 10:45 27.1 53 54 54.4 0
2024-05-25 11:00 27.3 55 54 67.2 0
2024-05-25 11:15 27.5 57 57 65.1 0
2024-05-25 11:30 27.7 60 57 34.6 0
2024-05-25 11:45 27.9 61 57 89.1 0
2024-05-25 12:00 28.1 62 57 54.6 0
2024-05-25 12:15 28.3 62 56 66.7 0
2024-05-25 12:30 28.5 62 56 54.1 0
2024-05-25 12:45 28.7 63 56 43.2 0
2024-05-25 13:00 28.9 63 56 22.4 0
2024-05-25 13:15 29.1 63 58 45.1 0
2024-05-25 13:30 29.3 62 58 67.3 0
2024-05-25 13:45 29.5 64 59 45.9 0
2024-05-25 14:00 29.7 62 60 87.1 0
2024-05-25 14:15 29.9 61 63 76.1 0
2024-05-25 14:30 30.1 60 62 34.9 0
2024-05-25 14:45 30.3 59 62 54.0 0
2024-05-25 15:00 30.5 57 61 44.2 0
2024-05-25 15:15 30.7 58 60 47.1 0
2024-05-25 15:30 30.9 56 59 32.1 0
2024-05-25 15:45 31.1 55 59 43.5 0
2024-05-25 16:00 31.3 56 59 54.1 0
2024-05-25 16:15 31.5 55 58 56.9 0
2024-05-25 16:30 31.7 54 57 67.0 0
2024-05-25 16:45 31.9 53 55 55.1 0
2024-05-25 17:00 32.1 51 55 54.2 0
2024-05-25 17:15 32.3 50 55 36.8 0
2024-05-25 17:30 32.5 50 54 56.9 0
2024-05-25 17:45 32.7 49 53 37.8 0
2024-05-25 18:00 32.9 48 52 54.6 0
2024-05-25 18:15 33.1 48 50 56.1 0
2024-05-25 18:30 33.3 49 50 67.1 0
2024-05-25 18:45 33.5 48 50 43.6 0
2024-05-25 19:00 33.7 48 49 36.7 0
2024-05-25 19:15 33.9 47 49 78.1 0
2024-05-25 19:30 34.1 45 49 23.5 0
2024-05-25 19:45 34.3 44 48 56.7 0
2024-05-25 20:00 34.5 44 47 43.6 0
2024-05-25 20:15 34.7 44 46 23.5 0
2024-05-25 20:30 34.9 43 46 67.6 0
2024-05-25 20:45 35.1 43 45 45.2 0
2024-05-25 21:00 35.3 42 44 33.9 0
2024-05-25 21:15 35.5 43 44 45.0 0
2024-05-25 21:30 35.7 43 44 35.1 0
2024-05-25 21:45 35.9 43 44 45.7 0
2024-05-25 22:00 17.6 44 42 65.2 0
2024-05-25 22:15 17.3 45 41 43.2 0
2024-05-25 22:30 17.2 43 40 54.3 0
2024-05-25 22:45 17.2 42 40 76.8 0
2024-05-25 23:00 17.0 44 40 45.8 0
2024-05-25 23:15 16.8 43 40 41.2 0
2024-05-25 23:30 16.5 41 39 23.6 1
2024-05-25 23:45 16.5 40 39 45.9 1
